"Period","Interest Expense All Industries","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Interest Expense All Industries to GDP","Mean_of_Ratio"
"Q4 2005",16273,11.4283757874555,4.05029976480214,14874.9166666667,1398.08333333333,859.338541666667,13999.3125,2273.6875,2003.72916666667,1469436,0.0110743169488157,0.0113862780033817
"Q1 2006",16783,11.3817361295461,4.05029976480214,15029.4166666667,1753.58333333333,859.338541666667,14158.21875,2624.78125,2003.72916666667,1476000,0.0113705962059621,0.0113862780033817
"Q2 2006",17217,12.5073514997059,4.05029976480214,15231.6666666667,1985.33333333333,859.338541666667,14326.03125,2890.96875,2003.72916666667,1490716,0.0115494836038521,0.0113862780033817
"Q3 2006",18211,18.1995196988382,4.05029976480214,15486,2725,859.338541666667,14520.375,3690.625,2003.72916666667,1504936,0.0121008468134193,0.0113862780033817
"Q4 2006",18412,13.1444724390094,4.05029976480214,15800,2612,859.338541666667,14723.3125,3688.6875,2003.72916666667,1514764,0.0121550287701583,0.0113862780033817
"Q1 2007",17817,6.16099624620151,4.05029976480214,16111.1666666667,1705.83333333333,859.338541666667,14906.9375,2910.0625,2003.72916666667,1547276,0.0115150755262797,0.0113862780033817
"Q2 2007",18484,7.35900563396643,4.05029976480214,16480,2004,859.338541666667,15115,3369,2003.72916666667,1576612,0.011723873724163,0.0113862780033817
"Q3 2007",19193,5.39234528581626,4.05029976480214,16897.6666666667,2295.33333333333,859.338541666667,15345.59375,3847.40625,2003.72916666667,1582248,0.0121302096763592,0.0113862780033817
"Q4 2007",19691,6.94655659352596,4.05029976480214,17321.5833333333,2369.41666666667,859.338541666667,15581.34375,4109.65625,2003.72916666667,1604508,0.0122722978009458,0.0113862780033817
"Q1 2008",18780,5.4049503283381,4.05029976480214,17630.9166666667,1149.08333333333,859.338541666667,15750.125,3029.875,2003.72916666667,1637296,0.0114701312407775,0.0113862780033817
"Q2 2008",18353,-0.708721056048474,4.05029976480214,17885.0833333333,467.916666666668,859.338541666667,15888.3125,2464.6875,2003.72916666667,1677448,0.0109410246994244,0.0113862780033817
"Q3 2008",18579,-3.19908299901006,4.05029976480214,18149.4166666667,429.583333333332,859.338541666667,16025.8125,2553.1875,2003.72916666667,1694512,0.010964218606891,0.0113862780033817
"Q4 2008",19704,0.066020009141232,4.05029976480214,18435.3333333333,1268.66666666667,859.338541666667,16186.03125,3517.96875,2003.72916666667,1618908,0.0121711672312448,0.0113862780033817
"Q1 2009",17046,-9.2332268370607,4.05029976480214,18457.25,-1411.25,859.338541666667,16248.1875,797.8125,2003.72916666667,1557232,0.0109463458238721,0.0113862780033817
"Q2 2009",16552,-9.81310957336675,4.05029976480214,18401.8333333333,-1849.83333333333,859.338541666667,16285.40625,266.59375,2003.72916666667,1548488,0.0106891367579213,0.0113862780033817
"Q3 2009",16396,-11.7498250713171,4.05029976480214,18250.5833333333,-1854.58333333333,859.338541666667,16314.75,81.25,2003.72916666667,1567924,0.0104571395042107,0.0113862780033817
"Q4 2009",16418,-16.6768168899716,4.05029976480214,18084.4166666667,-1666.41666666667,859.338541666667,16353.8125,64.1875,2003.72916666667,1611692,0.0101868098867526,0.0113862780033817
"Q1 2010",16309,-4.32359497829403,4.05029976480214,17958.75,-1649.75,859.338541666667,16432.6875,-123.6875,2003.72916666667,1644032,0.0099201232092806,0.0113862780033817
"Q2 2010",16459,-0.56186563557274,4.05029976480214,17790,-1331,859.338541666667,16505.125,-46.125,2003.72916666667,1653240,0.00995560233238973,0.0113862780033817
"Q3 2010",17380,6.00146377165162,4.05029976480214,17638.9166666667,-258.916666666668,859.338541666667,16596.125,783.875,2003.72916666667,1665372,0.0104361067677372,0.0113862780033817
"Q4 2010",18141,10.4945791204775,4.05029976480214,17509.75,631.25,859.338541666667,16700.75,1440.25,2003.72916666667,1701548,0.010661468263017,0.0113862780033817
"Q1 2011",18081,10.8651664724998,4.05029976480214,17451.5,629.5,859.338541666667,16799.25,1281.75,2003.72916666667,1737952,0.0104036244959585,0.0113862780033817
"Q2 2011",18677,13.4759098365636,4.05029976480214,17478.5,1198.5,859.338541666667,16920.71875,1756.28125,2003.72916666667,1759852,0.0106128242602219,0.0113862780033817
"Q3 2011",18546,6.70886075949367,4.05029976480214,17475.75,1070.25,859.338541666667,17026.5625,1519.4375,2003.72916666667,1785748,0.0103855639205532,0.0113862780033817
"Q4 2011",18718,3.18064053800783,4.05029976480214,17393.5833333333,1324.41666666667,859.338541666667,17153.875,1564.125,2003.72916666667,1812700,0.0103260329894632,0.0113862780033817
"Q1 2012",19571,8.24069465184448,4.05029976480214,17604,1967,859.338541666667,17325.375,2245.625,2003.72916666667,1815120,0.0107822072369871,0.0113862780033817
"Q2 2012",19480,4.29940568613803,4.05029976480214,17848,1632,859.338541666667,17494.8125,1985.1875,2003.72916666667,1818984,0.0107092750678401,0.0113862780033817
"Q3 2012",19999,7.83457349293648,4.05029976480214,18148.25,1850.75,859.338541666667,17676.625,2322.375,2003.72916666667,1830636,0.0109246185478708,0.0113862780033817
"Q4 2012",19897,6.29874986643872,4.05029976480214,18438.1666666667,1458.83333333333,859.338541666667,17842.03125,2054.96875,2003.72916666667,1844064,0.0107897556700852,0.0113862780033817
"Q1 2013",19718,0.751111338204486,4.05029976480214,18722.25,995.75,859.338541666667,17987.34375,1730.65625,2003.72916666667,1876844,0.0105059344303522,0.0113862780033817
"Q2 2013",20077,3.064681724846,4.05029976480214,19023.75,1053.25,859.338541666667,18136.53125,1940.46875,2003.72916666667,1886592,0.0106419405997693,0.0113862780033817
"Q3 2013",20831,4.16020801040052,4.05029976480214,19311.3333333333,1519.66666666667,859.338541666667,18306.03125,2524.96875,2003.72916666667,1912428,0.0108924362119777,0.0113862780033817
"Q4 2013",20843,4.75448560084435,4.05029976480214,19536.5,1306.5,859.338541666667,18448.84375,2394.15625,2003.72916666667,1933124,0.0107820295025048,0.0113862780033817
"Q1 2014",19852,0.679582107718836,4.05029976480214,19684.0833333333,167.916666666668,859.338541666667,18544.75,1307.25,2003.72916666667,1963452,0.0101107641032223,0.0113862780033817
"Q2 2014",19784,-1.45938138168053,4.05029976480214,19776.3333333333,7.66666666666788,859.338541666667,18624.96875,1159.03125,2003.72916666667,1988404,0.0099496882927212,0.0113862780033817
"Q3 2014",20241,-2.83231721952859,4.05029976480214,19917.5833333333,323.416666666668,859.338541666667,18688.40625,1552.59375,2003.72916666667,2013792,0.010051187014349,0.0113862780033817
"Q4 2014",20573,-1.29539893489421,4.05029976480214,20072.1666666667,500.833333333332,859.338541666667,18755.9375,1817.0625,2003.72916666667,2013944,0.010215279074294,0.0113862780033817
"Q1 2015",20805,4.80052387668749,4.05029976480214,20175,630,859.338541666667,18849.3125,1955.6875,2003.72916666667,1984300,0.0104848057249408,0.0113862780033817
"Q2 2015",21063,6.4648200566114,4.05029976480214,20306.9166666667,756.083333333332,859.338541666667,18929.90625,2133.09375,2003.72916666667,1984920,0.0106115107913669,0.0113862780033817
"Q3 2015",21491,6.17558421026629,4.05029976480214,20431.25,1059.75,859.338541666667,19001.71875,2489.28125,2003.72916666667,2000864,0.0107408599485022,0.0113862780033817
"Q4 2015",21689,5.42458562193166,4.05029976480214,20580.5833333333,1108.41666666667,859.338541666667,19064.15625,2624.84375,2003.72916666667,1991680,0.0108898015745501,0.0113862780033817
"Q1 2016",21565,3.65296803652968,4.05029976480214,20734.5,830.5,859.338541666667,19151.1875,2413.8125,2003.72916666667,1998420,0.0107910249096786,0.0113862780033817
"Q2 2016",21633,2.70616721264777,4.05029976480214,20864.1666666667,768.833333333332,859.338541666667,19253.6875,2379.3125,2003.72916666667,2002152,0.0108048739556237,0.0113862780033817
"Q3 2016",21914,1.96826578567773,4.05029976480214,20954.4166666667,959.583333333332,859.338541666667,19357.90625,2556.09375,2003.72916666667,2035420,0.0107663283253579,0.0113862780033817
"Q4 2016",23028,6.1736364055512,4.05029976480214,21136.5,1891.5,859.338541666667,19461.78125,3566.21875,2003.72916666667,2066148,0.0111453777754546,0.0113862780033817
"Q1 2017",21730,0.765128680732669,4.05029976480214,21293,437,859.338541666667,19608.15625,2121.84375,2003.72916666667,2107708,0.010309777255673,0.0113862780033817
"Q2 2017",22368,3.39758701983081,4.05029976480214,21508.3333333333,859.666666666668,859.338541666667,19789.90625,2578.09375,2003.72916666667,2130892,0.0104970125187011,0.0113862780033817
"Q3 2017",22584,3.05740622433148,4.05029976480214,21703.5833333333,880.416666666668,859.338541666667,19983.28125,2600.71875,2003.72916666667,2143864,0.0105342503069225,0.0113862780033817
"Q4 2017",23582,2.40576689247872,4.05029976480214,21954.3333333333,1627.66666666667,859.338541666667,20207.15625,3374.84375,2003.72916666667,2181964,0.0108076943524274,0.0113862780033817
"Q1 2018",23297,7.21122871606075,4.05029976480214,22162,1135,859.338541666667,20425.53125,2871.46875,2003.72916666667,2202260,0.0105786782668713,0.0113862780033817
"Q2 2018",24584,9.90701001430615,4.05029976480214,22455.4166666667,2128.58333333333,859.338541666667,20679.4375,3904.5625,2003.72916666667,2219616,0.0110757896861439,0.0113862780033817
"Q3 2018",25454,12.708111937655,4.05029976480214,22785.6666666667,2668.33333333333,859.338541666667,20931.75,4522.25,2003.72916666667,2244092,0.0113426722255594,0.0113862780033817
"Q4 2018",26231,11.2331439233314,4.05029976480214,23164.1666666667,3066.83333333333,859.338541666667,21184.5625,5046.4375,2003.72916666667,2229456,0.0117656504546401,0.0113862780033817
"Q1 2019",26303,12.9029488775379,4.05029976480214,23559,2744,859.338541666667,21441.5,4861.5,2003.72916666667,2260360,0.0116366419508397,0.0113862780033817
"Q2 2019",26951,9.62821347217703,4.05029976480214,24002.1666666667,2948.83333333333,859.338541666667,21700.0625,5250.9375,2003.72916666667,2305088,0.011691961434878,0.0113862780033817
"Q3 2019",26694,4.8715329614206,4.05029976480214,24400.5,2293.5,859.338541666667,21954.6875,4739.3125,2003.72916666667,2312284,0.0115444296634842,0.0113862780033817
"Q4 2019",26814,2.2225610918379,4.05029976480214,24716,2098,859.338541666667,22207.6875,4606.3125,2003.72916666667,2337684,0.0114703270416361,0.0113862780033817
