"Period","Outward FDI","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Outward FDI to GDP","Mean_of_Ratio"
"Q3 2012",995481,7.5742119538789,8.26955646274341,977558.083333333,17922.9166666666,106064.917613636,931605.34375,63875.65625,274790.729403409,1830636,0.543789699317614,0.648888127821373
"Q4 2012",1018025,7.41357007349947,8.26955646274341,980776.083333333,37248.9166666666,106064.917613636,938589.78125,79435.21875,274790.729403409,1844064,0.552055134745866,0.648888127821373
"Q1 2013",1079730,7.97796698648138,8.26955646274341,993563.333333333,86166.6666666666,106064.917613636,947270.0625,132459.9375,274790.729403409,1876844,0.575290221243748,0.648888127821373
"Q2 2013",1111224,17.0022300699345,8.26955646274341,1010440.58333333,100783.416666667,106064.917613636,956107.15625,155116.84375,274790.729403409,1886592,0.589011296560147,0.648888127821373
"Q3 2013",1187319,19.270885129902,8.26955646274341,1027313.91666667,160005.083333333,106064.917613636,966849.09375,220469.90625,274790.729403409,1912428,0.620843765098608,0.648888127821373
"Q4 2013",1281680,25.8986763586356,8.26955646274341,1046939.08333333,234740.916666667,106064.917613636,980630.75,301049.25,274790.729403409,1933124,0.663009718983366,0.648888127821373
"Q1 2014",1347150,24.7673029368453,8.26955646274341,1069695.33333333,277454.666666667,106064.917613636,994761.84375,352388.15625,274790.729403409,1963452,0.686113029501103,0.648888127821373
"Q2 2014",1348123,21.318744015608,8.26955646274341,1099298.66666667,248824.333333333,106064.917613636,1010077.6875,338045.3125,274790.729403409,1988404,0.677992500518003,0.648888127821373
"Q3 2014",1353554,14.000870869581,8.26955646274341,1134979,218575,106064.917613636,1025984.15625,327569.84375,274790.729403409,2013792,0.672141909392827,0.648888127821373
"Q4 2014",1408834,9.92088508832158,8.26955646274341,1173401.66666667,235432.333333333,106064.917613636,1040309.90625,368524.09375,274790.729403409,2013944,0.699539808455449,0.648888127821373
"Q1 2015",1536088,14.0250157740415,8.26955646274341,1218079.5,318008.5,106064.917613636,1057579.5,478508.5,274790.729403409,1984300,0.774120848661997,0.648888127821373
"Q2 2015",1563341,15.9642703225151,8.26955646274341,1269212.41666667,294128.583333333,106064.917613636,1075299.96875,488041.03125,274790.729403409,1984920,0.787609072405941,0.648888127821373
"Q3 2015",1577927,16.5765828330454,8.26955646274341,1317749.58333333,260177.416666667,106064.917613636,1094050.1875,483876.8125,274790.729403409,2000864,0.788622814943944,0.648888127821373
"Q4 2015",1680145,19.2578401713758,8.26955646274341,1372926.25,307218.75,106064.917613636,1116003.625,564141.375,274790.729403409,1991680,0.843581800289203,0.648888127821373
"Q1 2016",1599058,4.09937451500174,8.26955646274341,1416203.58333333,182854.416666667,106064.917613636,1133819.28125,465238.71875,274790.729403409,1998420,0.80016112729056,0.648888127821373
"Q2 2016",1667581,6.66777113886222,8.26955646274341,1462566.66666667,205014.333333333,106064.917613636,1153238.3125,514342.6875,274790.729403409,2002152,0.832894305727038,0.648888127821373
"Q3 2016",1748221,10.7922609854575,8.26955646274341,1509308.5,238912.5,106064.917613636,1182908.09375,565312.90625,274790.729403409,2035420,0.858899391771723,0.648888127821373
"Q4 2016",1811593,7.82361046219225,8.26955646274341,1553467.91666667,258125.083333333,106064.917613636,1213342.15625,598250.84375,274790.729403409,2066148,0.876797305904514,0.648888127821373
"Q1 2017",1920875,20.125411335924,8.26955646274341,1601278.33333333,319596.666666667,106064.917613636,1246394.1875,674480.8125,274790.729403409,2107708,0.911357265807218,0.648888127821373
"Q2 2017",1937958,16.2137251503825,8.26955646274341,1650431.25,287526.75,106064.917613636,1277221.28125,660736.71875,274790.729403409,2130892,0.9094585741558,0.648888127821373
"Q3 2017",1941820,11.0740575705246,8.26955646274341,1699453.41666667,242366.583333333,106064.917613636,1307841.96875,633978.03125,274790.729403409,2143864,0.905757081605923,0.648888127821373
"Q4 2017",1997272,10.2494876056598,8.26955646274341,1748489.91666667,248782.083333333,106064.917613636,1339650.1875,657621.8125,274790.729403409,2181964,0.915355157097001,0.648888127821373
"Q1 2018",2000048,4.12171536409189,8.26955646274341,1787153.25,212894.75,106064.917613636,1373205.34375,626842.65625,274790.729403409,2202260,0.908179778954347,0.648888127821373
"Q2 2018",2078323,7.24293302538032,8.26955646274341,1830068.41666667,248254.583333333,106064.917613636,1409756.15625,668566.84375,274790.729403409,2219616,0.936343493649352,0.648888127821373
"Q3 2018",2091131,7.6892296917325,8.26955646274341,1872835.41666667,218295.583333333,106064.917613636,1444327.78125,646803.21875,274790.729403409,2244092,0.93183835600323,0.648888127821373
"Q4 2018",1947210,-2.50651889176837,8.26955646274341,1895090.83333333,52119.1666666667,106064.917613636,1472485.03125,474724.96875,274790.729403409,2229456,0.873401403750511,0.648888127821373
"Q1 2019",2049252,2.46014095661704,8.26955646274341,1932607,116645,106064.917613636,1502959.3125,546292.6875,274790.729403409,2260360,0.906604257728857,0.648888127821373
"Q2 2019",2058663,-0.945954983898076,8.26955646274341,1965197.16666667,93465.8333333333,106064.917613636,1536264.9375,522398.0625,274790.729403409,2305088,0.893095187689147,0.648888127821373
"Q3 2019",2072349,-0.89817424159462,8.26955646274341,1992207.83333333,80141.1666666667,106064.917613636,1572107.40625,500241.59375,274790.729403409,2312284,0.896234632078067,0.648888127821373
"Q4 2019",2235608,14.8108319082174,8.26955646274341,2027542.41666667,208065.583333333,106064.917613636,1612352.59375,623255.40625,274790.729403409,2337684,0.956334560188631,0.648888127821373
