"Period","Banks Total Loans","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Banks Total Loans to GDP","Mean_of_Ratio"
"Q4 2008",1121272,7.78114104946252,6.838958906202,996990.5,124281.5,85274.6826923077,818538.71875,302733.28125,221783.49609375,1107163,1.01274338105591,0.930360519381296
"Q1 2009",1112885,5.59382501684173,6.838958906202,1016671.5,96213.5,85274.6826923077,834373.875,278511.125,221783.49609375,1065364,1.04460541185923,0.930360519381296
"Q2 2009",1129419,3.63439165139643,6.838958906202,1036581.83333333,92837.1666666666,85274.6826923077,850649.28125,278769.71875,221783.49609375,1074798,1.05081978194972,0.930360519381296
"Q3 2009",1143956,3.59330457240762,6.838958906202,1055449.5,88506.5,85274.6826923077,867201.40625,276754.59375,221783.49609375,1101320,1.0387135437475,0.930360519381296
"Q4 2009",1159222,3.38454897651952,6.838958906202,1074440.75,84781.25,85274.6826923077,883872.625,275349.375,221783.49609375,1125408,1.03004599220905,0.930360519381296
"Q1 2010",1157539,4.01245411700221,6.838958906202,1092166.16666667,65372.8333333333,85274.6826923077,900143.40625,257395.59375,221783.49609375,1142304,1.01333708014679,0.930360519381296
"Q2 2010",1210805,7.20600591985791,6.838958906202,1112444.25,98360.75,85274.6826923077,917880.4375,292924.5625,221783.49609375,1170020,1.03485837848926,0.930360519381296
"Q3 2010",1229100,7.44294360971926,6.838958906202,1129378.16666667,99721.8333333333,85274.6826923077,935953.1875,293146.8125,221783.49609375,1178022,1.04335912232539,0.930360519381296
"Q4 2010",1228277,5.95701254807103,6.838958906202,1145041,83236,85274.6826923077,953625.96875,274651.03125,221783.49609375,1194579,1.02820910128171,0.930360519381296
"Q1 2011",1246133,7.65365141044924,6.838958906202,1161057.91666667,85075.0833333333,85274.6826923077,971904.25,274228.75,221783.49609375,1251966,0.995340927788774,0.930360519381296
"Q2 2011",1269701,4.86420191525473,6.838958906202,1176048.75,93652.25,85274.6826923077,989797.03125,279903.96875,221783.49609375,1280707,0.991406309171419,0.930360519381296
"Q3 2011",1297759,5.58611992514848,6.838958906202,1192172.33333333,105586.666666667,85274.6826923077,1008567.34375,289191.65625,221783.49609375,1288006,1.00757216969486,0.930360519381296
"Q4 2011",1314207,6.99597892006445,6.838958906202,1208250.25,105956.75,85274.6826923077,1027288.40625,286918.59375,221783.49609375,1587559,0.827816163052838,0.930360519381296
"Q1 2012",1290392,3.5517075625154,6.838958906202,1223042.5,67349.5,85274.6826923077,1044754.375,245637.625,221783.49609375,1606884,0.803039920741012,0.930360519381296
"Q2 2012",1331833,4.89343554112346,6.838958906202,1239910.33333333,91922.6666666667,85274.6826923077,1062816.46875,269016.53125,221783.49609375,1613115,0.825628055036374,0.930360519381296
"Q3 2012",1342014,3.4101092729852,6.838958906202,1256415.16666667,85598.8333333333,85274.6826923077,1080710.59375,261303.40625,221783.49609375,1653713,0.811515662028417,0.930360519381296
"Q4 2012",1361608,3.60681384287255,6.838958906202,1273280.66666667,88327.3333333333,85274.6826923077,1098531.0625,263076.9375,221783.49609375,1669125,0.815761551711226,0.930360519381296
"Q1 2013",1377150,6.72338328197943,6.838958906202,1291581.58333333,85568.4166666667,85274.6826923077,1115963.9375,261186.0625,221783.49609375,1701634,0.809310345232876,0.930360519381296
"Q2 2013",1400201,5.13337633171726,6.838958906202,1307364.58333333,92836.4166666667,85274.6826923077,1133321.5625,266879.4375,221783.49609375,1727471,0.810549641643767,0.930360519381296
"Q3 2013",1430690,6.60768069483627,6.838958906202,1324163.75,106526.25,85274.6826923077,1151522.40625,279167.59375,221783.49609375,1760961,0.812448430146948,0.930360519381296
