"Period","Public NFCs Debt Securities","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Public NFCs Debt Securities to GDP","Mean_of_Ratio"
"Q1 2009",9613.1,-3.98134183005883,12.7902820845302,8292.78333333333,1320.31666666667,699.244696969697,5313.059375,4300.040625,1770.32425426136,1557232,0.00617319705734277,0.00424358207152447
"Q2 2009",9264.8,-15.2707917985112,12.7902820845302,8671.25,593.549999999999,699.244696969697,5519.73125,3745.06875,1770.32425426136,1548488,0.00598312676623907,0.00424358207152447
"Q3 2009",10221.4,-7.44838826512134,12.7902820845302,9123.03333333333,1098.36666666667,699.244696969697,5766.196875,4455.203125,1770.32425426136,1567924,0.00651906597513655,0.00424358207152447
"Q4 2009",10335.9,4.95323971121332,12.7902820845302,9363.75833333333,972.141666666666,699.244696969697,6016.621875,4319.278125,1770.32425426136,1611692,0.00641307396202252,0.00424358207152447
"Q1 2010",9189.8,-4.40336623981859,12.7902820845302,9636.33333333333,-446.533333333335,699.244696969697,6227.296875,2962.503125,1770.32425426136,1644032,0.00558979387262535,0.00424358207152447
"Q2 2010",9018.4,-2.65952853812278,12.7902820845302,9893.14166666667,-874.741666666667,699.244696969697,6428.30625,2590.09375,1770.32425426136,1653240,0.00545498536207689,0.00424358207152447
"Q3 2010",9345,-8.57416792220244,12.7902820845302,9970.65833333333,-625.658333333333,699.244696969697,6640.596875,2704.403125,1770.32425426136,1665372,0.00561135890359631,0.00424358207152447
"Q4 2010",9395.7,-9.09645023655414,12.7902820845302,9851.875,-456.174999999999,699.244696969697,6846.203125,2549.496875,1770.32425426136,1701548,0.00552185421745375,0.00424358207152447
"Q1 2011",10276.4,11.823978759059,12.7902820845302,9873.93333333333,402.466666666667,699.244696969697,7039.109375,3237.290625,1770.32425426136,1737952,0.00591293660584412,0.00424358207152447
"Q2 2011",10675,18.369112037612,12.7902820845302,9852.3,822.700000000001,699.244696969697,7244.571875,3430.428125,1770.32425426136,1759852,0.00606585099201524,0.00424358207152447
"Q3 2011",9777.7,4.63028357410381,12.7902820845302,9746.775,30.9250000000011,699.244696969697,7433.98125,2343.71875,1770.32425426136,1785748,0.00547540862428517,0.00424358207152447
"Q4 2011",9842.7,4.7574954500463,12.7902820845302,9746.325,96.375,699.244696969697,7617.721875,2224.978125,1770.32425426136,1812700,0.0054298560158879,0.00424358207152447
"Q1 2012",10215.5,-0.592619983651859,12.7902820845302,9796.525,418.975,699.244696969697,7808.459375,2407.040625,1770.32425426136,1815120,0.00562800255630482,0.00424358207152447
"Q2 2012",10017.7,-6.15737704918032,12.7902820845302,9859.26666666667,158.433333333334,699.244696969697,8001.296875,2016.403125,1770.32425426136,1818984,0.00550730517695593,0.00424358207152447
"Q3 2012",10374.3,6.10163944485921,12.7902820845302,9872.00833333333,502.291666666666,699.244696969697,8198.521875,2175.778125,1770.32425426136,1830636,0.00566704686240192,0.00424358207152447
"Q4 2012",9840.2,-0.0253995346805247,12.7902820845302,9830.7,9.5,699.244696969697,8387.425,1452.775,1770.32425426136,1844064,0.00533614885383588,0.00424358207152447
"Q1 2013",9712.6,-4.92291126229749,12.7902820845302,9874.26666666667,-161.666666666666,699.244696969697,8568.253125,1144.346875,1770.32425426136,1876844,0.00517496392880815,0.00424358207152447
"Q2 2013",9561.7,-4.55194306078242,12.7902820845302,9919.54166666667,-357.841666666667,699.244696969697,8745.79375,815.90625,1770.32425426136,1886592,0.00506823944975914,0.00424358207152447
"Q3 2013",10280.5,-0.904157388932258,12.7902820845302,9997.5,283,699.244696969697,8939.609375,1340.890625,1770.32425426136,1912428,0.00537562721315521,0.00424358207152447
"Q4 2013",10970.3,11.4845226723034,12.7902820845302,10128.7166666667,841.583333333332,699.244696969697,9139.75,1830.55,1770.32425426136,1933124,0.00567490755895638,0.00424358207152447
"Q1 2014",9709.6,-0.0308877128678212,12.7902820845302,10081.4833333333,-371.883333333333,699.244696969697,9298.08125,411.518750000001,1770.32425426136,1963452,0.0049451680000326,0.00424358207152447
"Q2 2014",10349.6,8.24016649758934,12.7902820845302,10054.3666666667,295.233333333334,699.244696969697,9473.90625,875.69375,1770.32425426136,1988404,0.00520497846514089,0.00424358207152447
"Q3 2014",10642.9,3.52512037352269,12.7902820845302,10126.4666666667,516.433333333332,699.244696969697,9656.496875,986.403124999999,1770.32425426136,2013792,0.0052850046082217,0.00424358207152447
"Q4 2014",11260.2,2.64258953720501,12.7902820845302,10244.5916666667,1015.60833333333,699.244696969697,9775.653125,1484.546875,1770.32425426136,2013944,0.00559111872028219,0.00424358207152447
"Q1 2015",10041.1,3.41414682376205,12.7902820845302,10230.0583333333,-188.958333333334,699.244696969697,9904.471875,136.628125000001,1770.32425426136,1984300,0.00506027314418183,0.00424358207152447
"Q2 2015",11370.7,9.8660817809384,12.7902820845302,10342.8083333333,1027.89166666667,699.244696969697,10074.284375,1296.415625,1770.32425426136,1984920,0.00572854321584749,0.00424358207152447
"Q3 2015",10543.3,-0.935835157710778,12.7902820845302,10356.8916666667,186.408333333333,699.244696969697,10140.8,402.5,1770.32425426136,2000864,0.00526937363059158,0.00424358207152447
"Q4 2015",10606.2,-5.80806735226728,12.7902820845302,10420.725,185.475,699.244696969697,10134.084375,472.115625,1770.32425426136,1991680,0.00532525305269923,0.00424358207152447
"Q1 2016",10608.3,5.64878349981575,12.7902820845302,10495.3666666667,112.933333333332,699.244696969697,10152.728125,455.571875,1770.32425426136,1998420,0.00530834359143724,0.00424358207152447
"Q2 2016",10336,-9.09970362422719,12.7902820845302,10559.8916666667,-223.891666666666,699.244696969697,10134.021875,201.978125,1770.32425426136,2002152,0.00516244520895516,0.00424358207152447
"Q3 2016",10958.3,3.9361490235505,12.7902820845302,10616.375,341.924999999999,699.244696969697,10131.34375,826.956249999999,1770.32425426136,2035420,0.00538380285149994,0.00424358207152447
"Q4 2016",10338.1,-2.52776677792235,12.7902820845302,10563.6916666667,-225.591666666667,699.244696969697,10146.65625,191.44375,1770.32425426136,2066148,0.00500356218431594,0.00424358207152447
"Q1 2017",9326.3,-12.0848769359841,12.7902820845302,10531.75,-1205.45,699.244696969697,10137.69375,-811.393750000001,1770.32425426136,2107708,0.00442485391714602,0.00424358207152447
"Q2 2017",9854.4,-4.65944272445821,12.7902820845302,10490.4833333333,-636.083333333334,699.244696969697,10156.11875,-301.71875,1770.32425426136,2130892,0.00462454221049213,0.00424358207152447
"Q3 2017",11556.9,5.46252612175247,12.7902820845302,10566.65,990.25,699.244696969697,10197.853125,1359.046875,1770.32425426136,2143864,0.00539068709582324,0.00424358207152447
"Q4 2017",11736.9,13.5305326897592,12.7902820845302,10606.375,1130.525,699.244696969697,10241.634375,1495.265625,1770.32425426136,2181964,0.00537905299995784,0.00424358207152447
"Q1 2018",11528.6,23.6138661634303,12.7902820845302,10730.3333333333,798.266666666666,699.244696969697,10314.721875,1213.878125,1770.32425426136,2202260,0.00523489506234505,0.00424358207152447
"Q2 2018",11471.7,16.4119581100828,12.7902820845302,10738.75,732.950000000001,699.244696969697,10391.3875,1080.3125,1770.32425426136,2219616,0.00516832641321742,0.00424358207152447
"Q3 2018",12119,4.86376104318632,12.7902820845302,10870.0583333333,1248.94166666667,699.244696969697,10478.075,1640.925,1770.32425426136,2244092,0.00540040247904275,0.00424358207152447
"Q4 2018",10879,-7.30942582794434,12.7902820845302,10892.7916666667,-13.7916666666661,699.244696969697,10524.428125,354.571875,1770.32425426136,2229456,0.00487966571217373,0.00424358207152447
"Q1 2019",11160.7,-3.19119407386846,12.7902820845302,10938.825,221.875,699.244696969697,10552.0625,608.637500000001,1770.32425426136,2260360,0.00493757631527721,0.00424358207152447
"Q2 2019",12048.6,5.02889719919454,12.7902820845302,11081.5416666667,967.058333333334,699.244696969697,10594.9875,1453.6125,1770.32425426136,2305088,0.00522695879723464,0.00424358207152447
"Q3 2019",13174.5,8.7094644772671,12.7902820845302,11266.225,1908.275,699.244696969697,10701.1375,2473.3625,1770.32425426136,2312284,0.00569761326895831,0.00424358207152447
"Q4 2019",14854,36.5382847688207,12.7902820845302,11642.55,3211.45,699.244696969697,10857.740625,3996.259375,1770.32425426136,2337684,0.00635415222930045,0.00424358207152447
