"Period","TSX 243 Net Income","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","Common Equity","Ratio: TSX 243 Net Income to Common Equity","Mean_of_Ratio"
"Q1 2015",101090300,55.0958794695795,20.3661305141964,80871201.6666667,20219098.3333333,7295855.81570513,75037806.25,26052493.75,15629002.3737981,940932900,0.107436247579397,0.115057566971936
"Q2 2015",92558370,37.3776088068078,20.3661305141964,81076124.1666667,11482245.8333333,7295855.81570513,75558858.75,16999511.25,15629002.3737981,989944800,0.0934985162809078,0.115057566971936
"Q3 2015",84244000,-4.68417042620581,20.3661305141964,81445908.3333333,2798091.66666667,7295855.81570513,75902990.3125,8341009.6875,15629002.3737981,996640800,0.0845279462771342,0.115057566971936
"Q4 2015",60822770,-36.019336386004,20.3661305141964,79835777.5,-19013007.5,7295855.81570513,75355390.3125,-14532620.3125,15629002.3737981,1017923000,0.059751837810915,0.115057566971936
"Q1 2016",45685820,-54.8069201496088,20.3661305141964,76666366.6666667,-30980546.6666667,7295855.81570513,74256445.625,-28570625.625,15629002.3737981,1035337000,0.0441265211230739,0.115057566971936
"Q2 2016",47556140,-48.620378686444,20.3661305141964,73980858.3333333,-26424718.3333333,7295855.81570513,73328524.375,-25772384.375,15629002.3737981,1036854000,0.045865801742579,0.115057566971936
"Q3 2016",41672180,-50.5339490052704,20.3661305141964,71608337.5,-29936157.5,7295855.81570513,72232085,-30559905,15629002.3737981,1031275000,0.0404084070689195,0.115057566971936
"Q4 2016",63319440,4.10482784654497,20.3661305141964,71079313.3333333,-7759873.33333333,7295855.81570513,71783620.9375,-8464180.9375,15629002.3737981,1066669000,0.0593618451459637,0.115057566971936
"Q1 2017",93027980,103.625501304343,20.3661305141964,73400042.5,19627937.5,7295855.81570513,72725510.3125,20302469.6875,15629002.3737981,1102769000,0.0843585374634216,0.115057566971936
"Q2 2017",107805200,126.690391608739,20.3661305141964,76769213.3333333,31035986.6666667,7295855.81570513,74314618.75,33490581.25,15629002.3737981,1158999000,0.093015783447613,0.115057566971936
"Q3 2017",132386200,217.68484394145,20.3661305141964,80436058.3333333,51950141.6666667,7295855.81570513,76829934.375,55556265.625,15629002.3737981,1189828000,0.111264989561516,0.115057566971936
"Q4 2017",143782800,127.075286831343,20.3661305141964,84495933.3333333,59286866.6666667,7295855.81570513,80150653.75,63632146.25,15629002.3737981,1193554000,0.120466103753999,0.115057566971936
"Q1 2018",147273500,58.3109726772526,20.3661305141964,88344533.3333333,58928966.6666667,7295855.81570513,83078352.1875,64195147.8125,15629002.3737981,1227606000,0.119968051638718,0.115057566971936
"Q2 2018",145349500,34.8260566280662,20.3661305141964,92743794.1666667,52605705.8333333,7295855.81570513,85633665.9375,59715834.0625,15629002.3737981,1282960000,0.113292308411798,0.115057566971936
"Q3 2018",134825800,1.84279026061629,20.3661305141964,96958944.1666667,37866855.8333333,7295855.81570513,87846009.6875,46979790.3125,15629002.3737981,1306134000,0.103225090228108,0.115057566971936
"Q4 2018",133443000,-7.19126348909605,20.3661305141964,103010630,30432370,7295855.81570513,89751579.0625,43691420.9375,15629002.3737981,1321427000,0.100984011980987,0.115057566971936
"Q1 2019",132258900,-10.1950452729106,20.3661305141964,110225053.333333,22033846.6666667,7295855.81570513,91459531.25,40799368.75,15629002.3737981,1365082000,0.0968871467062052,0.115057566971936
"Q2 2019",143082800,-1.55948248875985,20.3661305141964,118185608.333333,24897191.6666667,7295855.81570513,93464030.625,49618769.375,15629002.3737981,1391225000,0.102846627971752,0.115057566971936
"Q3 2019",154241900,14.4008787635601,20.3661305141964,127566418.333333,26675481.6666667,7295855.81570513,95404603.4375,58837296.5625,15629002.3737981,1399825000,0.110186559034165,0.115057566971936
"Q4 2019",161704000,21.1783308228982,20.3661305141964,135765131.666667,25938868.3333333,7295855.81570513,97512911.875,64191088.125,15629002.3737981,1426906000,0.113324914184957,0.115057566971936
