"Period","General Gov Gross Debt","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: General Gov Gross Debt to GDP","Mean_of_Ratio"
"Q3 2012",1954165,6.265260066886,3.65886660965548,1793714.83333333,160450.166666667,82495.4479166667,1547900.03125,406264.96875,228011.432883523,1830636,1.0674787341667,1.0385999661551
"Q4 2012",1984256,6.63422194468419,3.65886660965548,1823116.41666667,161139.583333333,82495.4479166667,1569872.75,414383.25,228011.432883523,1844064,1.07602339181287,1.0385999661551
"Q1 2013",2033409,7.4035437624984,3.65886660965548,1853489,179920,82495.4479166667,1592254.8125,441154.1875,228011.432883523,1876844,1.08341929323908,1.0385999661551
"Q2 2013",2064561,7.41240775656474,3.65886660965548,1884922.58333333,179638.416666667,82495.4479166667,1615480.40625,449080.59375,228011.432883523,1886592,1.09433359200081,1.0385999661551
"Q3 2013",2077985,6.33621009484869,3.65886660965548,1914945.75,163039.25,82495.4479166667,1638842.8125,439142.1875,228011.432883523,1912428,1.08656901070263,1.0385999661551
"Q4 2013",2082158,4.93393997548703,3.65886660965548,1942602.16666667,139555.833333333,82495.4479166667,1662075.96875,420082.03125,228011.432883523,1933124,1.07709489924081,1.0385999661551
"Q1 2014",2072862,1.94023927306312,3.65886660965548,1966294.33333333,106567.666666667,82495.4479166667,1684406.96875,388455.03125,228011.432883523,1963452,1.05572328735309,1.0385999661551
"Q2 2014",2104607,1.93968596713781,3.65886660965548,1990757.41666667,113849.583333333,82495.4479166667,1708067.6875,396539.3125,228011.432883523,1988404,1.05844033707436,1.0385999661551
"Q3 2014",2121712,2.10429815422152,3.65886660965548,2014320.91666667,107391.083333333,82495.4479166667,1732222.90625,389489.09375,228011.432883523,2013792,1.05359044032353,1.0385999661551
"Q4 2014",2136143,2.59274272173389,3.65886660965548,2037265.66666667,98877.3333333333,82495.4479166667,1756206.25,379936.75,228011.432883523,2013944,1.06067646369512,1.0385999661551
"Q1 2015",2147146,3.58364425610581,3.65886660965548,2058424.33333333,88721.6666666667,82495.4479166667,1779785.5,367360.5,228011.432883523,1984300,1.08206722773774,1.0385999661551
