"Period","Money Supply M2","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Money Supply M2 to GDP","Mean_of_Ratio"
"Q4 1991",387836,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,706716,NA,0.559288545922521
"Q1 1992",392743,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,710008,NA,0.559288545922521
"Q2 1992",394188,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,714744,NA,0.559288545922521
"Q3 1992",400887,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,721660,NA,0.559288545922521
"Q4 1992",400820,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,727332,NA,0.559288545922521
"Q1 1993",402996,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,733952,NA,0.559288545922521
"Q2 1993",408896,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,745360,NA,0.559288545922521
"Q3 1993",410679,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,750068,NA,0.559288545922521
"Q4 1993",411462,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,758768,NA,0.559288545922521
"Q1 1994",409985,1.73426038968129,5.78232391104603,398958.583333333,11026.4166666667,68287.9799679487,337985.5,71999.5,174357.442908654,772656,0.53061776521505,0.559288545922521
"Q2 1994",413231,1.06017177962122,5.78232391104603,401608,11623,68287.9799679487,343709.125,69521.875,174357.442908654,783660,0.527309037082408,0.559288545922521
"Q3 1994",419883,2.24116645847487,5.78232391104603,404467.166666667,15415.8333333333,68287.9799679487,349452.03125,70430.96875,174357.442908654,800784,0.524339896901037,0.559288545922521
"Q4 1994",422101,2.58565797084542,5.78232391104603,407322.583333333,14778.4166666667,68287.9799679487,354990.5625,67110.4375,174357.442908654,810788,0.520605879712083,0.559288545922521
"Q1 1995",427895,4.36845250435992,5.78232391104603,410251.916666667,17643.0833333333,68287.9799679487,360411.875,67483.125,174357.442908654,823972,0.519307694921672,0.559288545922521
"Q2 1995",433633,4.9371900946444,5.78232391104603,413539,20094,68287.9799679487,365819.75,67813.25,174357.442908654,828856,0.52317049041088,0.559288545922521
"Q3 1995",439200,4.60056730089096,5.78232391104603,416731.75,22468.25,68287.9799679487,371229.28125,67970.71875,174357.442908654,832976,0.527266091700121,0.559288545922521
"Q4 1995",441103,4.50176616496999,5.78232391104603,420088.666666667,21014.3333333333,68287.9799679487,376703.78125,64399.21875,174357.442908654,840680,0.524697863634201,0.559288545922521
"Q1 1996",446272,4.29474520618376,5.78232391104603,423695,22577,68287.9799679487,382136.875,64135.125,174357.442908654,844208,0.528628015844436,0.559288545922521
"Q2 1996",449427,3.64225047447957,5.78232391104603,427072.583333333,22354.4166666667,68287.9799679487,387383.25,62043.75,174357.442908654,852904,0.526937380994813,0.559288545922521
