"Period","Monetary Base","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Monetary Base to GDP","Mean_of_Ratio"
"Q4 2001",40771,6.47393711480205,4.82760090927788,38330.5833333333,2440.41666666666,3512.28044871795,33718.125,7052.875,9045.29567307692,1136584,0.0358715237941058,0.036270832949766
"Q1 2002",41373,6.23170543829918,4.82760090927788,38800.3333333333,2572.66666666666,3512.28044871795,34092,7281,9045.29567307692,1158640,0.0357082441483118,0.036270832949766
"Q2 2002",41929,5.93481556341587,4.82760090927788,39272.4166666667,2656.58333333334,3512.28044871795,34481.8125,7447.1875,9045.29567307692,1185892,0.035356508012534,0.036270832949766
"Q3 2002",43144,7.90046267350256,4.82760090927788,39806.8333333333,3337.16666666666,3512.28044871795,34916.40625,8227.59375,9045.29567307692,1204144,0.035829601775203,0.036270832949766
"Q4 2002",43480,6.6444286380025,4.82760090927788,40098.5833333333,3381.41666666666,3512.28044871795,35358.84375,8121.15625,9045.29567307692,1226100,0.0354620340918359,0.036270832949766
"Q1 2003",43765,5.78154835279047,4.82760090927788,40571.75,3193.25,3512.28044871795,35801.46875,7963.53125,9045.29567307692,1250088,0.0350095353287129,0.036270832949766
"Q2 2003",43761,4.36929094421522,4.82760090927788,41071,2690,3512.28044871795,36249.1875,7511.8125,9045.29567307692,1237720,0.0353561387066542,0.036270832949766
"Q3 2003",43970,1.91451882069349,4.82760090927788,41583,2387,3512.28044871795,36697.71875,7272.28125,9045.29567307692,1258296,0.0349440831092207,0.036270832949766
"Q4 2003",44201,1.65823367065317,4.82760090927788,42075.4166666667,2125.58333333334,3512.28044871795,37153.1875,7047.8125,9045.29567307692,1272884,0.0347250809971686,0.036270832949766
"Q1 2004",44762,2.27807608819833,4.82760090927788,42560.0833333333,2201.91666666666,3512.28044871795,37623.9375,7138.0625,9045.29567307692,1296216,0.0345328247761176,0.036270832949766
"Q2 2004",45425,3.80247252119467,4.82760090927788,43047.1666666667,2377.83333333334,3512.28044871795,38102.375,7322.625,9045.29567307692,1328148,0.0342017606471568,0.036270832949766
"Q3 2004",45673,3.87309529224471,4.82760090927788,43521.1666666667,2151.83333333334,3512.28044871795,38576.53125,7096.46875,9045.29567307692,1351480,0.0337948027347796,0.036270832949766
"Q4 2004",46018,4.11076672473473,4.82760090927788,43958.4166666667,2059.58333333334,3512.28044871795,39050.0625,6967.9375,9045.29567307692,1367080,0.0336615267577611,0.036270832949766
"Q1 2005",46683,4.2915866136455,4.82760090927788,44400.9166666667,2282.08333333334,3512.28044871795,39533.53125,7149.46875,9045.29567307692,1380324,0.0338203204465039,0.036270832949766
"Q2 2005",47316,4.16290588882774,4.82760090927788,44849.8333333333,2466.16666666666,3512.28044871795,40025.25,7290.75,9045.29567307692,1399608,0.033806608707581,0.036270832949766
"Q3 2005",47685,4.40522847196374,4.82760090927788,45228.25,2456.75,3512.28044871795,40518.625,7166.375,9045.29567307692,1436992,0.0331839008150359,0.036270832949766
"Q4 2005",48170,4.67643096179756,4.82760090927788,45619.0833333333,2550.91666666666,3512.28044871795,41008.59375,7161.40625,9045.29567307692,1469436,0.0327812847922604,0.036270832949766
"Q1 2006",48902,4.7533363322837,4.82760090927788,46047.1666666667,2854.83333333334,3512.28044871795,41510.03125,7391.96875,9045.29567307692,1476000,0.0331314363143631,0.036270832949766
"Q2 2006",49410,4.42556429114887,4.82760090927788,46517.9166666667,2892.08333333334,3512.28044871795,42013.03125,7396.96875,9045.29567307692,1490716,0.0331451463591992,0.036270832949766
"Q3 2006",50050,4.959630911188,4.82760090927788,47024.5833333333,3025.41666666666,3512.28044871795,42504.21875,7545.78125,9045.29567307692,1504936,0.033257228214356,0.036270832949766
"Q4 2006",50882,5.63006020344613,4.82760090927788,47581.3333333333,3300.66666666666,3512.28044871795,43017.6875,7864.3125,9045.29567307692,1514764,0.0335907111602864,0.036270832949766
"Q1 2007",51653,5.62553678786144,4.82760090927788,48155.5833333333,3497.41666666666,3512.28044871795,43515.09375,8137.90625,9045.29567307692,1547276,0.0333831843833938,0.036270832949766
"Q2 2007",52178,5.60210483707751,4.82760090927788,48718.3333333333,3459.66666666666,3512.28044871795,44012.40625,8165.59375,9045.29567307692,1576612,0.03309501640226,0.036270832949766
