"Period","General Gov External Debt","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: General Gov External Debt to GDP","Mean_of_Ratio"
"Q1 2017",446957,1.28855057323051,3.29079087377488,431097.166666667,15859.8333333333,12842.9725378788,368163.875,78793.125,37160.1484375,2107708,0.212058311682643,0.184148064749742
"Q2 2017",472333,3.5495525516177,3.29079087377488,438098.5,34234.5,12842.9725378788,376190.28125,96142.71875,37160.1484375,2130892,0.221659755632852,0.184148064749742
"Q3 2017",472343,0.948483132259754,3.29079087377488,444590.25,27752.75,12842.9725378788,384098.625,88244.375,37160.1484375,2143864,0.220323210800685,0.184148064749742
"Q4 2017",487535,7.22431034975709,3.29079087377488,451759.416666667,35775.5833333333,12842.9725378788,392188.8125,95346.1875,37160.1484375,2181964,0.223438608519664,0.184148064749742
"Q1 2018",468567,4.834917005439,3.29079087377488,455090.166666667,13476.8333333333,12842.9725378788,399449.46875,69117.53125,37160.1484375,2202260,0.21276643084831,0.184148064749742
"Q2 2018",462060,-2.17494860617403,3.29079087377488,458232.916666667,3827.08333333331,12842.9725378788,405320.65625,56739.34375,37160.1484375,2219616,0.208171143116647,0.184148064749742
"Q3 2018",455383,-3.59061106018296,3.29079087377488,460360.25,-4977.25,12842.9725378788,410415.90625,44967.09375,37160.1484375,2244092,0.202925281138206,0.184148064749742
"Q4 2018",470002,-3.59625462787287,3.29079087377488,462932.083333333,7069.91666666669,12842.9725378788,416039.96875,53962.03125,37160.1484375,2229456,0.210814656131361,0.184148064749742
"Q1 2019",477530,1.91285344465146,3.29079087377488,465953.666666667,11576.3333333333,12842.9725378788,421816.40625,55713.59375,37160.1484375,2260360,0.21126280769435,0.184148064749742
"Q2 2019",478691,3.5993161061334,3.29079087377488,467832.75,10858.25,12842.9725378788,427135.5625,51555.4375,37160.1484375,2305088,0.207667125940528,0.184148064749742
"Q3 2019",467119,2.57717130415496,3.29079087377488,467767.25,-648.25,12842.9725378788,430982.875,36136.125,37160.1484375,2312284,0.202016274817453,0.184148064749742
"Q4 2019",466336,-0.779996680865188,3.29079087377488,468738,-2402,12842.9725378788,434340.125,31995.875,37160.1484375,2337684,0.19948632920446,0.184148064749742
